@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,12,14-19,21,25-27,29-31,36-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute totalDebt numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
22,3,68564787200,66558091264,8.69,7659164160,4226618880,2282533120,1573416960,65483000,2053715968,1438209536,0,0,43.614907,2
2,1,5517864960,5752551424,22.069,260664000,173955008,100185000,-49013000,542913024,582446976,-303579872,0,0,0,0
3,2,1200563200,2788163072,0.658,4238200064,760000000,378100000,142200000,1955600000,308600000,245224992,0.022599,0.1942,8.61165,4
2,1,439984512,1467208192,2.426,604800000,373500000,216100000,-64700000,1074099968,129900000,-9375000,0,0,0,3
6,2,547750144,1681309184,0.725,2320257024,751980992,132735000,-26781000,1273783040,10572000,-106200128,0,0,0,1
6,9,2018304128,3164704000,0.79,4004900096,1155100032,368300000,140100000,1285299968,377700000,286849984,0,0,14.675159,3
25,6,104662286336,173385285632,0.451,384328990720,51134001152,13973000192,4530999808,82724003840,7568000000,5829250048,0.03269,0.7409,22.986072,1
14,9,3737802752,3745054720,5.041,742948992,390956000,38319000,4884000,539324032,178456992,182333376,0,0,997.666667,2
5,8,1323930368,2558652416,2.38,1075160960,272216992,236416992,62460000,1437768960,172860000,36144000,0.04031,0.8299,20.68254,1
8,6,492607808,880093824,5.638,156110000,43017000,-225738000,-526359008,702220992,-149546000,67196000,0,0,0,2
8,5,5862758912,5682239488,4.48,1268306048,1041561984,882240000,714846976,494630016,867009984,1425639296,0.020068,0.172,8.673469,2
11,7,22622232576,24234432512,4.307,5626399744,1958499968,1328999936,829100032,2000700032,957400000,476600000,0.01208,0.3364,27.625568,2
