@relation 'train_std_bal_main_finantial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R2-3,45'

@attribute numberOfAnalystOpinions numeric
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute _debtToEquity numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
0.951907,-0.296681,-0.341649,-0.65178,-0.776305,0.199388,0.153247,0.263995,-0.039751,-0.037627,0.231217,0.528332,0.466753,0.052972,0.13725,0.189469,-0.058562,-0.380978,0.1206,0.359689,0.153135,-0.173726,-0.0964,-0.264367,1.457274,-0.404435,-0.507506,-0.381279,0.364697,-0.104537,0.735902,0.017769,0.895541,0.923389,0.094436,-0.925587,-0.821407,-0.935926,-0.496628,-0.114049,-0.215377,2.185164,-0.04672,2
-1.000237,-0.225908,-0.307276,-0.108831,-0.95694,-0.122196,-0.018933,-0.03111,-0.111654,-0.038683,0.265212,-0.007607,0.403671,0.053135,1.398033,0.457641,-0.144774,-0.330636,-0.095835,0.117136,0.06554,0.044048,-0.014245,-0.147241,-0.280117,-0.0741,0.027191,-0.297229,0.09743,-0.031005,0.258676,-0.088477,0.173734,0.198178,-0.228229,-0.869364,-0.841356,-0.891167,-0.522593,-0.892876,-0.13365,-0.229234,-0.13638,3
0.58588,-0.622671,-0.393029,-0.426736,0.668771,0.156147,-0.176191,-0.197347,-0.248335,-0.038855,-0.015099,-0.314846,-0.080034,0.052468,0.089332,-0.074155,-0.313035,-0.431679,-0.291314,-0.268855,-0.186085,-0.398758,-0.163614,-0.290189,-0.424365,-0.160373,-0.11461,-0.505826,-0.251302,-0.225893,-0.664803,-0.129392,-0.166179,-0.169634,0.41786,1.443521,0.016451,1.24235,-0.455865,1.127453,-0.26989,-0.337462,0.336921,2
-0.390192,0.779005,0.896783,-0.385099,0.009382,-0.264249,-0.104713,-0.123548,0.32325,-0.039255,0.205713,0.776819,-0.004632,0.052593,0.701934,2.100192,-0.173302,0.159116,-0.031416,-0.13604,-0.010581,1.549107,0.000548,0.763147,-0.243677,-0.267306,-0.383158,-0.199704,-0.066734,0.017026,-0.664803,-0.129392,-0.258493,-0.241835,-0.364981,-0.010514,-0.645856,-0.187228,-0.266048,0.528449,-0.033248,-0.241865,-0.173768,3
1.073916,-0.058785,0.395615,0.140448,-0.053767,-0.07076,-0.023188,-0.016332,0.167386,-0.039228,-0.216819,0.968114,-0.105081,0.052216,0.040857,-0.624917,0.010218,-0.157556,0.351726,-0.068835,-0.34888,-0.794381,0.054592,0.003552,0.193266,-0.303632,-0.340618,-0.370437,-0.107456,0.110134,0.12865,0.575078,-0.09822,-0.078353,-0.163866,-0.673554,-0.514192,-0.526313,-0.49973,0.259818,0.200655,0.428938,-0.282303,3
-0.878228,1.326191,0.651347,-0.68856,-0.293144,-0.355901,-0.122409,-0.136241,-0.01783,-0.039194,0.150774,-0.212093,0.051767,0.052689,0.839464,0.460524,-0.206223,0.373952,-0.186091,-0.146353,-0.07567,1.746313,-0.158847,-0.232952,-0.307653,-0.180125,-0.146678,0.355215,-0.142206,-0.083311,-0.101752,-0.095919,-0.291725,-0.273653,-0.446568,0.02826,-0.035416,-0.023112,-0.438407,0.718304,-0.219329,-0.337759,-0.146803,2
0.097844,0.20711,-0.076148,0.059887,2.062448,0.08781,-0.073846,-0.09768,1.602806,-0.029769,0.223155,0.713893,0.026255,0.052791,0.677586,0.21575,-0.308398,-0.42324,-0.275265,-0.260986,-0.171416,-0.326167,-0.128076,-0.190496,-0.432049,0.917356,0.992961,-0.485791,-0.240279,-0.226865,-0.664803,-0.129392,-0.160503,-0.160858,-0.244553,-0.34785,-1.248316,-0.476128,0.500397,-0.686537,-0.277913,-0.369165,1.207258,0
0.58588,0.208538,-0.148381,-0.691103,-0.40035,0.056013,0.523311,0.538548,0.723239,-0.039248,0.035556,-0.414317,-0.111851,0.052388,1.081392,1.009274,1.022271,-0.070209,0.789022,0.531226,0.512544,0.117849,0.183137,-0.139832,0.435019,-0.382185,-0.368323,-0.421887,0.433224,0.441083,-0.16066,-0.076627,0.78649,0.817704,0.068923,-0.912016,-0.474294,-0.946777,-0.52791,0.142399,4.086197,1.125137,-0.03761,1
-0.878228,-0.54451,-0.355002,-0.449521,0.736326,-0.384554,-0.180941,-0.200607,-0.348572,-0.039572,-0.059849,0.337865,-0.00517,0.052289,-0.066654,-0.086967,-0.307242,-0.272772,-0.277961,-0.261276,-0.18691,-0.344315,-0.160051,-0.21857,-0.398915,-0.318162,-0.379449,-0.255454,-0.244391,-0.234715,1.332349,0.132773,-0.308442,-0.297241,-0.515237,-0.384686,0.399472,-0.227919,1.872358,-0.928818,-0.221731,-0.344599,0.013012,2
-0.63421,-0.533894,-0.276677,-0.494006,-0.20503,-0.257924,-0.164718,-0.174882,-0.238987,-0.038697,0.166792,0.610949,0.446573,0.053011,0.576301,0.242012,-0.291017,-0.391786,-0.247574,-0.201941,-0.156826,-0.252366,-0.163526,-0.290007,-0.259353,-0.286831,-0.230013,-0.421701,-0.201105,-0.238759,0.781354,-0.048489,-0.157656,-0.14196,-0.264012,-0.411828,-0.147131,-0.584635,-0.296089,0.283302,-0.26977,-0.073006,-0.146137,0
