@relation 'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,12,14-19,21,25-27,29-31,36-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute totalDebt numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
0.677729,9,0.36796,0.218402,-0.053377,0.236084,-0.198441,-0.209367,-0.173376,0.050999,0.044659,0.165552,1.075491,0.897784,0.52333,4
1.533831,4,2.437801,2.281735,-0.556647,2.466361,8.21935,8.4904,6.135641,1.544634,8.911116,6.303966,1.37755,0.642787,0.273612,2
-0.545274,9,-0.035112,-0.172591,1.488688,-1.160798,-0.370036,-0.417225,-0.360739,-0.612214,-0.399719,-0.341467,-0.690137,-0.584779,-1.592794,0
1.04463,5,1.629859,1.53959,1.229762,0.583083,0.225935,0.403462,0.648798,0.897856,0.363864,0.613555,-0.331347,-0.058974,0.695243,2
-1.034476,8,-1.017148,-0.981612,0.739502,-1.397826,-0.378522,-0.390684,-0.323873,-0.409184,-0.383265,-0.231806,1.851728,0.612014,0.132859,1
0.188528,3,0.353522,0.290989,-0.589142,0.663685,-0.011937,-0.229864,-0.131343,0.225936,-0.196942,-0.099557,-0.690137,-0.584779,0.366686,2
-0.789875,0,-1.183404,-0.945385,-0.16532,-0.755187,-0.370397,-0.378017,-0.367565,-0.088949,-0.370322,-0.333335,-0.690137,-0.584779,-1.592794,1
2.023033,5,1.643383,1.49402,1.241436,0.533417,0.266697,0.071269,0.993929,0.68596,0.111398,-0.173533,-0.690137,-0.584779,0.5686,2
-0.912175,9,-0.272058,-0.431663,-0.941044,0.238023,-0.344185,-0.35079,-0.283986,-0.832474,-0.315011,-0.23413,-0.690137,-0.584779,0.421896,2
0.800029,9,0.181523,0.025293,0.476226,-0.297597,-0.264029,-0.336363,-0.253458,-1.299745,-0.291543,-0.193455,-0.690137,-0.584779,0.656461,1
-1.156776,7,-1.140771,-0.700026,-0.803848,-0.100407,-0.343928,-0.372201,-0.433828,0.195449,-0.393671,-0.328408,-0.690137,-0.584779,-1.592794,3
3.368337,9,0.568307,0.343468,0.437357,0.020287,-0.144941,-0.379215,-0.281464,-0.066209,-0.165388,0.063416,-0.690137,-0.584779,1.275388,2
-0.300674,8,-0.391241,-0.102596,0.879462,-0.686354,-0.328001,-0.306755,-0.301098,0.525809,-0.307255,-0.20182,2.469985,1.387366,0.430589,3
-0.178373,4,-0.847119,-0.696098,-0.670111,-0.186855,-0.229928,-0.077103,-0.442574,0.107505,-0.065666,0.03496,-0.690137,-0.584779,-1.592794,1
0.310828,7,-0.819921,-0.739732,-1.09806,0.061245,-0.323438,-0.334788,-0.33621,-0.156146,-0.352695,-0.362467,0.255467,0.41659,0.575597,4
-0.056073,6,-1.71341,-2.680508,-4.331047,0.459426,-0.403861,-0.504868,-0.516929,-1.526544,-0.429828,-0.354683,-0.690137,-0.584779,-1.592794,3
1.16693,8,0.542579,0.681466,1.135269,-0.139924,-0.224131,-0.109894,-0.096209,0.951629,-0.103965,0.013631,1.461173,0.981834,0.452351,3
-0.667575,3,-2.176402,-1.742605,-0.197858,-1.464134,-0.373496,-0.403097,-0.356808,-0.487977,-0.395695,-0.328018,-0.690137,-0.584779,0.193319,3
-0.789875,0,-0.416264,-0.247588,-0.570748,0.157463,-0.266935,-0.286455,-0.306626,0.338018,-0.342558,-0.243177,0.042103,0.136574,0.487873,2
-0.789875,6,-1.34484,-1.838395,0.541766,-2.050081,-0.387522,-0.42861,-0.354867,-1.472353,-0.341801,-0.342326,-0.690137,-0.584779,0.934337,2
-1.156776,3,-0.730126,-0.907909,-0.579321,-0.442218,-0.323412,-0.368524,-0.306493,-1.027472,-0.364653,-0.294935,0.733055,0.216163,0.178955,0
