@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,49,51-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,49,51'

@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute 52WeekChange numeric
@attribute fiftyDayAverageChangePercent numeric
@attribute twoHundredDayAverageChangePercent numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute earningsQuarterlyGrowth numeric
@attribute revenueGrowth numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
2,0,0,92.19,144.65,30,-0.163354,-0.072518,-0.160088,1.657,1367956,3935364864,4246431744,7.508552,3.21,0.01504,0.3949,0.11776,0.06524,0.01861,0.04221,0.774,0.126,1322972032,32.991,522448000,155792000,19892000,0.47,336804000,8.368,847827968,1.831,1.915,12.278,183164992,35649500,0,0,40247757,38439425,4853232,0.1206,3.96,0.1741,0.04535,1.07503,12826,0,69052611.82603,0,196.148936,3
7,1,0,155.39,161.99,0.264947,0.093381,0.039949,0.163193,0.8,746840,18574772224,21203324928,4.866735,1.792,0.04161,0.2503,0.10533,0.08728,0.04778,0.08423,0.222,0.051,11835288576,96.474,2962432000,1246553984,484961984,3.9,1293307008,10.819,3004278016,1.354,1.395,31.929,500151008,1104204288,0.007817,0.3128,119536469,118091273,1971538,0.0165,2.9,0.0188,0.01116,0.90325,45000,0,94092455.635942,0,39.84359,2
6,1,0,802.83,972.53,2.039063,-0.114001,0.068938,0.020821,0.461,4601996,719702392832,757240299520,39.4027,14.218,0.25911,0.82638,0.46519,0.45805,0.16553,0.86291,0.908,0.376,53258100736,59.218,44011499520,24775100416,13799900160,15.33,3545999872,3.95,39980998656,0.512,1.278,20.375,10938200064,-2265437440,0.006834,0.366,896456759,895428470,7686850,0.0086,2.21,0.0096,0.00164,0.83611,47000,0,1962257602.748466,0,52.369863,1
1,1,0,58.07,65.3,19.81,0.380975,-0.023301,0.058828,0.543,3592457,24449165312,28379273216,2.166791,1.741,0.13883,0.35472,0.21613,0.22361,0.08657,0.19589,1.248,0.063,16300000256,35.824,5782000128,3523000064,2263000064,4.91,5351000064,12.01,7464999936,2.7,2.91,26.8,3324000000,2585125120,0.009474,0.11,210519458,304318881,18414682,0.0413,3.97,0.1024,0.013,1.159,10400,0,278544773.731343,0,11.826884,3
7,0,0,47.31,101.43,0.765306,0.027585,-0.148142,-0.155669,1.402,2764271,5455337472,9704337408,1.383495,0.722,0.02328,0.23098,0.10939,0.09017,0.02825,0.07664,-0.218,0.279,13447000064,108.839,3105999872,1471000064,313000000,2.44,2124000000,18.42,6373000192,0.426,0.523,34.196,1427000064,738249984,0,0,115310451,114718908,6631893,0.0575,2.16,0.0786,0.00583,0.91909,30536,0,186366832.14411,0,19.389344,0
7,0,0,7.15,32,0.22,1.179878,0.396375,0.840507,1.326,1985942,952950080,1103430016,3.27681,1.817,0.18952,0.31932,0.16298,0.13273,0.06814,0.54341,0.479,0.011,607216000,4.592,193899008,98963000,120420000,0.92,68749000,0.516,220490000,1.417,2.467,2.182,77773000,17047250,0,0,133279724,125182981,4667366,0.035,3.34,0.0369,0.06141,0.75145,1400,0,101049495.875344,0,7.771739,0
8,0,0,24.4,32.5,12.8,-0.164097,-0.027718,-0.092476,0.879,620651,2548929280,3747164160,1.684501,13.409,0.37874,0.85202,0.76425,0.56334,0.03706,0.07722,0.132,0.096,279444992,2.855,238092000,213564992,105837000,1.08,17819000,0.171,1213912064,1.658,1.721,14.485,172124992,134897504,0.058049,1.3056,104464312,103181490,4077480,0.039,5.54,0.0632,0.01351,1.07208,536,0,83804767.966862,0,22.592593,3
9,0,0,41.59,53.9,1.40625,-0.126627,-0.041683,0.029145,1.359,250610,910176704,930445696,1.019438,0.306,0.02353,0.13439,0.04123,0.03517,0.03337,0.07817,0.248,0.089,3040809984,129.716,408646016,125358000,71548000,3,126837000,5.796,147106000,1.262,2.007,40.797,112349000,73772752,0,0,21884508,21197772,408867,0.0187,1.59,0.0301,0.03127,1.0213,2100,0,3605804.348359,0,13.863333,2
2,0,0,93.84,130.42,0.83,-0.025748,-0.026409,-0.004421,0.731,1280610,10920685568,17043852288,3.734331,1.419,0.04637,0.22301,0.17106,0.14036,0.06873,0.22145,0.04,0.036,12012999680,102.325,2679000064,2055000064,557000000,4.75,936000000,8.136,6703000064,0.643,1.064,25.129,1312000000,989000000,0.011046,0.2147,116375594,110880677,6047712,0.052,4.42,0.0691,0.00903,1.01959,23000,0,266743605.555334,0,19.755789,1
9,0,0,150.32,314.495,15.241,-0.123243,-0.099341,-0.190527,0.539,572207,8291896320,8152353792,6.74595,5.11,0.14238,0.68939,0.21632,0.05434,0.04421,0.20039,1.401,0.282,1595220992,28.666,1099731968,345076992,227127008,4.01,206743008,3.748,67201000,0.151,1.14,22.283,418225984,345396000,0,0,55161627,44514330,1219308,0.0221,2.09,0.0283,0.19855,0.82069,6700,0,3015796.795764,0,37.486284,1
