@relation 'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,11,14-19,23-27,30-33,36,38,40-41,43-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute floatShares numeric
@attribute sharesPercentSharesOut numeric
@attribute heldPercentInsiders numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
-0.912175,4,-1.365914,-1.082356,-0.197858,-1.08477,-1.421469,-0.352312,-0.640902,0.003327,3.238026,1.423977,-0.437876,-0.72997,0.253527,0.31632,2
-0.912175,8,-1.375451,-1.546521,0.899011,-1.200555,-1.523935,-0.360484,0.347561,-0.119857,5.111797,5.439175,0.076675,-0.218034,-0.339837,-1.592794,3
3.123736,9,3.055804,2.464966,1.442925,1.791997,-0.107056,4.38363,2.167364,-0.819647,-0.40508,0.104434,2.376276,-2.403492,3.531443,1.012513,2
1.778432,2,0.968126,1.366295,-0.216106,1.004995,0.120299,0.248872,0.764659,-2.676002,0.07606,0.141241,1.381698,0.661074,-0.556911,0.464668,2
0.433128,0,1.049289,-0.784785,0.058323,0.898718,0.164529,0.152062,0.916038,-0.252647,0.259509,4.028515,1.179286,-1.119101,-0.561532,2.197182,1
0.677729,9,0.36796,-0.46246,-0.053377,0.236084,0.038614,-0.198441,0.050999,0.260093,1.075491,0.897784,0.285154,0.638778,-0.538428,0.52333,4
1.533831,4,2.437801,-0.555178,-0.556647,2.466361,1.146918,8.21935,1.544634,-0.594154,1.37755,0.642787,2.342758,-2.135757,0.023595,0.273612,2
-0.545274,9,-0.035112,2.369481,1.488688,-1.160798,-0.488238,-0.370036,-0.612214,2.07113,-0.690137,-0.584779,-1.19746,1.214231,-0.161135,-1.592794,0
1.04463,5,1.629859,1.981602,1.229762,0.583083,0.390216,0.225935,0.897856,0.359359,-0.331347,-0.058974,0.385092,-1.8352,0.81113,0.695243,2
-1.034476,8,-1.017148,-0.976245,0.739502,-1.397826,-1.395696,-0.378522,-0.409184,-2.04768,1.851728,0.612014,-0.335098,-1.679079,-0.501864,0.132859,1
0.188528,3,0.353522,0.979191,-0.589142,0.663685,0.961327,-0.011937,0.225936,-0.928532,-0.690137,-0.584779,-0.073967,0.957612,-0.542748,0.366686,2
-0.789875,0,-1.183404,-0.858588,-0.16532,-0.755187,-0.986254,-0.370397,-0.088949,0.317103,-0.690137,-0.584779,0.050312,0.097082,-0.433658,-1.592794,1
2.023033,5,1.643383,0.853005,1.241436,0.533417,0.069081,0.266697,0.68596,-0.157167,-0.690137,-0.584779,0.599449,0.285208,-0.463492,0.5686,2
-0.912175,9,-0.272058,-0.096633,-0.941044,0.238023,1.397958,-0.344185,-0.832474,-0.48407,-0.690137,-0.584779,-1.190385,-0.48409,-0.414271,0.421896,2
0.800029,9,0.181523,0.797013,0.476226,-0.297597,0.126632,-0.264029,-1.299745,-2.04768,-0.690137,-0.584779,-0.745883,-0.825526,1.412329,0.656461,1
-1.156776,7,-1.140771,-0.16322,-0.803848,-0.100407,0.106581,-0.343928,0.195449,-0.381928,-0.690137,-0.584779,-0.404085,1.224981,-0.220099,-1.592794,3
3.368337,9,0.568307,-0.315565,0.437357,0.020287,-0.312279,-0.144941,-0.066209,0.124124,-0.690137,-0.584779,0.39362,-0.372641,-0.529287,1.275388,2
-0.300674,8,-0.391241,-0.830319,0.879462,-0.686354,-0.846064,-0.328001,0.525809,0.218747,2.469985,1.387366,-0.000146,0.082739,-0.391871,0.430589,3
-0.178373,4,-0.847119,-1.631517,-0.670111,-0.186855,-0.600714,-0.229928,0.107505,-0.123003,-0.690137,-0.584779,0.094409,0.553559,2.036029,-1.592794,1
0.310828,7,-0.819921,-0.999094,-1.09806,0.061245,0.523491,-0.323438,-0.156146,0.315047,0.255467,0.41659,-0.504874,0.373347,-0.461985,0.575597,4
-0.056073,6,-1.71341,-1.190788,-4.331047,0.459426,-0.394677,-0.403861,-1.526544,0.017166,-0.690137,-0.584779,0.854955,0.169197,-0.372885,-1.592794,3
1.16693,8,0.542579,-0.812593,1.135269,-0.139924,-1.427951,-0.224131,0.951629,0.683606,1.461173,0.981834,1.575233,-0.352271,-0.365653,0.452351,3
