@relation 'train_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,12,14-19,21,25-27,29-31,36-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute totalDebt numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
-1.015317,4,-0.16838,-0.185521,-0.034776,-0.281858,-0.248108,-0.228771,-0.172362,-0.391455,-0.214434,-0.198375,3.569793,0.17683,-0.104919,2
-1.249399,2,-0.162517,-0.173311,-0.035801,-0.175771,-0.203648,-0.203644,-0.134028,-0.290892,-0.235254,-0.238625,-0.650203,-0.134552,-0.16977,4
-0.313072,5,-0.164317,-0.185372,-0.035789,-0.257913,-0.239554,-0.230943,-0.167258,-0.397157,-0.45997,-0.337715,-0.650203,-0.134552,-0.085804,2
1.208458,8,-0.123418,-0.123474,-0.033187,-0.250278,-0.202333,-0.154744,-0.155142,-0.13756,-0.139894,-0.060384,1.105127,0.319413,0.156418,3
0.389172,9,-0.092742,-0.097673,-0.034732,-0.174734,-0.08075,-0.125494,-0.058231,-0.133922,-0.058403,0.049431,-0.650203,-0.134552,-0.09119,2
-1.015317,6,-0.168419,-0.186645,-0.021275,-0.287188,-0.261011,-0.252433,-0.1863,-0.398344,-0.241,-0.214824,-0.650203,-0.134552,-0.208271,1
-0.430113,6,-0.163561,-0.181208,-0.005313,-0.287095,-0.258036,-0.262265,-0.200749,-0.385017,-0.247621,-0.222439,-0.650203,-0.134552,-0.208271,1
-0.430113,6,-0.169687,-0.188267,-0.03507,-0.284655,-0.262975,-0.255166,-0.187178,-0.396845,-0.241563,-0.217461,-0.650203,-0.134552,-0.208271,0
-0.898276,3,-0.170529,-0.17944,-0.035658,-0.243337,-0.235128,-0.220389,-0.211481,-0.259692,-0.215484,-0.169799,6.450189,0.38561,-0.208271,4
-0.430113,6,-0.1689,-0.188734,-0.035577,-0.283099,-0.248487,-0.259319,-0.192348,-0.39848,-0.241339,-0.23758,-0.650203,-0.134552,-0.208271,1
-0.430113,6,-0.152099,-0.165176,-0.035729,-0.159969,-0.196895,-0.20588,-0.146888,-0.314877,-0.200719,-0.166788,-0.650203,-0.134552,-0.096027,1
1.091417,3,0.133422,0.109078,-0.033411,-0.105717,-0.01125,-0.008186,0.055315,-0.394218,0.009565,0.09402,-0.650203,-0.134552,0.013852,2
-1.249399,1,-0.147593,-0.164175,-0.029363,-0.281366,-0.248631,-0.237371,-0.185523,-0.361654,-0.164827,-0.271125,-0.650203,-0.134552,-0.208271,0
-1.132358,2,-0.166836,-0.177496,-0.035841,-0.186934,-0.214304,-0.208185,-0.157139,-0.265297,-0.197286,-0.156074,0.321007,-0.104247,-0.164413,4
-1.249399,1,-0.170226,-0.183432,-0.035306,-0.273195,-0.236943,-0.225198,-0.187851,-0.325422,-0.218468,-0.209448,-0.650203,-0.134552,-0.208271,3
-0.781236,2,-0.169746,-0.18247,-0.035821,-0.232469,-0.214774,-0.233953,-0.182222,-0.311802,-0.232612,-0.229746,-0.650203,-0.134552,-0.208271,1
-0.781236,9,-0.163191,-0.175804,-0.035801,-0.192473,-0.191162,-0.209214,-0.15745,-0.311017,-0.189096,-0.147348,-0.650203,-0.134552,-0.133533,3
1.442539,6,0.294318,0.589147,-0.035904,8.836842,2.736304,1.219519,0.494345,5.243747,0.663182,1.014549,0.754692,-0.018935,-0.091207,1
0.155091,9,-0.155527,-0.173196,-0.034515,-0.269916,-0.235921,-0.243868,-0.177522,-0.361898,-0.212712,-0.169259,-0.650203,-0.134552,4.872677,2
-0.898276,8,-0.166286,-0.178528,-0.03532,-0.262029,-0.242876,-0.223064,-0.168975,-0.300617,-0.213376,-0.199906,1.082165,-0.005046,-0.102938,1
-0.547154,6,-0.169992,-0.186071,-0.034335,-0.283848,-0.256301,-0.271598,-0.256381,-0.350788,-0.251591,-0.193396,-0.650203,-0.134552,-0.208271,2
-0.547154,5,-0.146056,-0.164491,-0.034685,-0.257443,-0.197812,-0.155241,-0.072133,-0.364947,-0.131097,0.091385,0.212242,-0.107712,-0.164099,2
-0.196032,7,-0.071355,-0.081119,-0.034737,-0.153977,-0.144103,-0.108324,-0.055173,-0.262221,-0.120383,-0.107569,-0.131067,-0.082057,-0.067579,2
-1.015317,7,-0.17154,-0.189608,-0.035988,-0.274861,-0.246818,-0.246823,-0.206225,-0.396955,-0.232517,-0.205406,3.282246,0.108199,-0.208271,2
-0.196032,7,-0.104273,-0.114482,-0.034729,-0.195519,-0.157031,-0.149806,-0.085292,-0.246554,-0.143177,-0.092397,-0.170808,-0.091638,-0.0829,3
-0.898276,4,-0.165778,-0.183534,-0.035779,-0.247828,-0.236009,-0.215128,-0.167669,-0.384127,-0.205105,-0.178175,-0.650203,-0.134552,-0.104411,2
-0.196032,5,-0.139873,-0.14603,-0.03233,-0.268599,-0.239295,-0.131363,-0.077488,-0.218253,-0.334906,-0.165326,-0.650203,-0.134552,-0.154687,2
