@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
14,6,0,0,12.51,69.54,0.458333,0.965,3609606,2495543040,4646542848,1.272117,1.266,-0.25851,0.5192,0.17053,0.11645,0.02719,-0.37731,3671000064,18.396,1906000000,626000000,-949000000,-4.68,359000000,1.8,2508999936,0.862,1.686,9.834,283000000,245500000,0.050713,0.2883,199483861,185559888,9536789,0.0478,3.06,0.0533,0.00394,1.04222,14000,0,255135238.560098,1,0,3
11,7,0,0,56.24,69.75,12.5,0.255,351621,1772112384,2734743296,1.673312,0.631,0.01629,0.086,0.06834,0.04909,0.03746,0.0686,4333661184,137.137,372688992,296158016,70582000,2.21,187456992,5.912,1138840064,1.045,1.204,33.61,218856992,234940256,0,0,31509821,22414087,699227,0.0222,1.73,0.0523,0.01285,0.90304,16100,0,33883965.010414,0,25.447964,2
12,10,1,0,74.78,76.45,3.41,0.399,2230871,22384304128,40386306048,2.739495,5.038,0.1276,0.42086,0.35637,0.19804,0.03081,0.11307,8016999936,26.885,3374000128,2856999936,1013000000,3.39,844000000,2.82,18044999680,0.557,0.999,27.297,2120999936,-1308249984,0.028294,0.6239,299335461,297225146,11573050,0.0387,5.15,0.0439,0.00515,1.00359,8324,0,661061643.404037,0,22.058997,2
10,7,0,0,53.01,96.94,0.8,1.665,725993,3477455872,5696456192,1.750834,1.102,0.03463,0.1863,0.09673,0.08675,0.04644,0.09449,5168999936,77.788,963000000,500000000,179000000,2.68,374000000,5.701,2592999936,0.988,2.076,30.277,374000000,133175000,0.012495,0.2537,65600000,63906208,3749300,0.0572,5.26,0.0934,0.02813,1.04079,11400,0,85642564.851207,0,19.779851,3
8,8,0,0,28.05,56.45,4.5,0.952,879328,3235020800,5696081920,2.110609,7.58,0.19202,0.56881,0.50877,0.31533,0.03292,0.09625,751457024,6.687,427432992,382320000,143719008,1.27,22450000,0.199,2486340096,2.172,2.715,13.29,326102016,250510752,0.04298,0.9449,112927513,112071645,4808468,0.0426,4.46,0.0617,0.00293,1.10265,427,0,187083528.668172,0,22.086614,1
12,9,1,0,84.49,113.333336,1.1,1.131,7388500,72375713792,79812714496,6.149199,5.618,0.05765,0.35408,0.22406,0.14966,0.04131,0.08277,14206000128,16.635,5030000128,3183000064,819000000,0.94,1491000064,1.741,8498999808,0.692,1.497,13.74,2180999936,1089624960,0.012915,1.1915,856618711,785339468,13865265,0.0162,1.36,0.0183,0.08239,0.74889,56300,0,618558937.991266,0,89.882979,1
6,7,0,0,247.92,282.98,1.887517,0.956,267385,9359245312,9736410112,5.089819,2.134,0.08612,0.3031,0.12282,0.11027,0.102,0.22245,4563424256,119.184,1383159040,560472000,392988000,10.12,393920000,10.434,770620032,2.234,3.321,48.709,492384992,345933248,0.00678,0.164,37751071,37377683,660623,0.0175,3.2,0.0201,0.00832,0.97257,6800,0,15820896.179351,0,24.498024,1
5,0,0,0,130.52,301.99,4.166667,1.422,130542,2270345984,3046726656,1.691397,1.662,-0.00389,0.36436,0.14552,0.10654,0.04082,-0.00517,1832674048,103.565,667753984,266692000,-7134000,-0.43,201918000,11.608,975089024,1.682,2.563,77.167,169566000,117624624,0.014869,0.3561,17394619,13507270,2003370,0.1152,16.32,0.1796,0.22276,0.86896,4400,0,12636088.276077,1,0,0
12,10,1,0,93.15,105.51,5,0.46,1073642,11124647936,25211482112,1.653766,4.797,0.10962,0.40885,0.38252,0.22907,0.02338,0.09027,5255240192,44.996,2148604928,2010236032,576059008,4.86,18841000,0.158,14004524032,0.246,0.522,56.326,1736011008,-492301760,0.038333,0.7335,119427244,118655744,5145343,0.0431,5.1,0.063,0.00247,1.02782,6403,0,248633384.795654,0,19.166667,3
21,6,0,0,200,210,3.12,1.523,1243943,17670199296,32773199872,4.712979,1.585,0.07175,0.40777,0.2095,0.16126,0.07584,0.29646,20682999808,219.948,8433999872,4333000192,1484000000,15.92,2624999936,29.711,13175000064,1.48,1.709,42.436,2464999936,886750016,0,0,88351000,87589414,2466616,0.0279,2.01,0.0375,0.00764,1.00077,74480,0,310467529.079084,0,12.562814,1
