@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,11,14-19,23-27,30-33,36,38,40-41,43-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute floatShares numeric
@attribute sharesPercentSharesOut numeric
@attribute heldPercentInsiders numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
3,0,1859662464,1.124348,1.239,2063500032,64.89,524400000,983299968,1.237,0.007222,43,30950970,0.014,0.01137,5927,0
8,1,9665770496,2.604362,1.397,8846600192,23.807,2087800064,4184699904,0.978,0.050114,1.1186,364211636,0.0759,0.00458,22.364407,2
6,2,4276726272,2.722824,1.486,2556986880,44.569,689638016,127789000,1.513,0,0,55666962,0.0874,0.01786,20.125,3
7,7,634149952,0.718769,0.745,2707109120,20.558,742862016,1407145984,0.448,0.02183,1.75,112137758,0.074,0.0141,0,4
5,9,642644928,1.192271,0.825,389227008,4.779,141276992,15284000,7.058,0,0,66074739,0.0507,0.21852,37.95,0
13,1,2623547392,0.532472,0.814,3705967104,45.023,2751335936,1435042048,2.631,0,0,66968995,0.0766,0.02685,0,1
10,7,12969873408,9.401176,3.411,4098851072,73.039,1496468992,1309673984,0.929,0.012421,0.3326,54069834,0.0202,0.01624,26.377104,2
19,3,30205452288,0.730583,1.935,25309999104,21.118,8682999808,21211000832,0.569,0.063669,0.7306,851682487,0.0471,0.27851,0,4
10,7,15395992576,5.093687,1.956,7507526144,199.196,2067438976,454086016,1.222,0.030054,0.8467,32898837,0.069,0.00398,28.24067,3
5,4,694300928,1.080915,2.332,409332000,3.141,339679008,275000000,1.108,0.08365,1.76,63681438,0.0238,0.08319,21.16,2
5,8,683768128,0.687672,8.358,335107008,2.635,269320000,2277468928,0.983,0.123552,20,115827196,0.0354,0.02412,0,3
38,9,830464393216,34.263702,15.74,59017998336,21.038,41113001984,111621996544,0.498,0.00607,0.4167,1678344706,0.0065,0.40951,67.589327,2
27,2,29253332992,11.747181,2.283,15148456960,28.428,5515473920,5557355008,0.082,0.016316,0.4433,528102138,0.07,0.00251,27.192118,2
16,0,33317285888,1.444469,3.142,12606999552,30.131,4681999872,7681999872,0.864,0.020223,9.2941,417368417,0.0176,0.00205,468.058824,1
18,9,11179564032,1.977422,2.759,4011699968,25.524,1664400000,1207800064,1.422,0.037599,1.1155,147594889,0.0688,0.00435,30.007968,4
25,4,308429029376,1.806616,1.536,189265002496,107.606,74136002560,29467000832,0.62,0.044031,0.8597,1614202210,0.008,0.0603,19.676093,2
8,9,5859536384,31.219774,16.601,358937984,12.571,187084992,292400992,8.264,0,0,26332862,0.1075,0.04191,0,0
21,5,84485095424,21.394377,12.282,7306999808,40.482,5318000128,7389000192,1.566,0.00764,0.3044,165779399,0.0101,0.1387,39.986418,2
4,8,1214252160,1.19865,6.942,238308000,3.279,114026000,451399008,0.151,0.054129,0.831,71763826,0.0114,0.00799,15.453704,1
14,3,10923831296,8.056216,1.479,8399001088,84.77,3270075904,1755831040,0.448,0,0,97218970,0.0881,0.00392,23.047423,2
6,0,930218112,1.344246,2.422,723462016,6.203,183974000,895377024,1.503,0,0,112330982,0.0452,0.01478,0,1
29,5,86336356352,7.124199,12.45,6706041856,26.572,5668932096,4696446976,0.948,0,0,212695976,0.0523,0.01181,32.371869,2
5,9,4008068608,2.824219,0.982,4025168896,148.46,409643008,182555008,0.69,0,0,26550351,0.0288,0.01671,25.301533,2
19,9,8291896320,6.74595,5.11,1595220992,28.666,1099731968,67201000,0.151,0,0,44514330,0.0221,0.19855,37.486284,1
3,7,996002560,2.646807,1.152,2242873088,27.919,411852992,1644996992,0.762,0,0,66232958,0.1084,0.03604,0,3
40,9,15412675584,2.281695,4.884,2763000064,15.975,2124999936,940000000,1.246,0,0,167431041,0.0314,0.00526,104.083333,2
10,8,3311132416,1.381785,8.17,814841024,7.609,548972992,3334384896,1.366,0.067295,1.7094,105931008,0.0447,0.01894,25.675214,3
11,4,1594627712,0.633017,1.346,1931650048,10.762,1393320960,1362948992,0.98,0,0,118239985,0.0644,0.26064,0,1
15,7,1665676032,1.17226,0.818,2965641984,48.145,588262976,775516992,1.5,0.020137,0.6588,58909528,0.056,0.01196,32.752941,4
12,6,397804768,0.972543,0.019,5901181952,14.286,-104127000,41373000,1.123,0,0,286262790,0.0478,0.02083,0,3
22,8,14790057984,1.405858,11.003,2094828032,3.107,1443227008,8289573888,2.146,0.045812,1.2073,661353986,0.0319,0.02155,26.634146,3
7,3,189408944,1.943343,2.332,212508992,4.795,157292992,381395008,2.375,0,0,27374056,0.0439,0.03331,17.15,3
6,0,3180967680,1.623509,1.511,3502085120,63.972,1074711040,2231459072,1.018,0.015593,0.4399,53817904,0.0194,0.00292,28.274038,2
6,6,718152064,3.193729,5.515,77205000,1.558,36542000,46457000,6.603,0,0,21894573,0.0982,0.0437,59.416667,2
7,4,599410304,0.269673,1.515,1935410944,51.51,1296413056,2395013120,0.501,0,0,28677795,0.148,0.21977,0,3
3,3,1923504896,1.14458,1.496,1242475008,53.429,588483968,120302000,1.036,0.030307,0.499,22792252,0.0203,0.03394,16.731809,0
4,6,171636704,0.899944,1.778,35754000,0.338,28529000,18507000,11.451,0,0,96184782,0.0304,0.01771,0,1
10,7,5353955840,3.275293,1.371,4622900224,102.532,1589799936,1041500032,0.963,0,0,43904579,0.0516,0.01411,43.64,2
3,6,413456384,0.995661,0.281,1192539008,36.661,240812000,2768000,3.116,0,0,28494745,0.0737,0.05246,0,4
10,0,6367348736,1.521572,0.879,7798479872,69.017,1220156032,1528173952,1.783,0.013008,0.973,109882815,0.0276,0.01053,77.540541,2
12,8,5015477248,1.479125,9.234,857126016,3.901,636185024,3089569024,1.169,0.048636,1.3291,218130108,0.0405,0.00683,28.253165,2
8,10,11569332224,1.721548,8.275,2338170880,8.47,1383415040,7803106816,0.511,0.031495,0.5588,279587997,0.0214,0.00181,17.703863,0
3,2,1585098752,2.7582,1.377,1352215040,23.155,508870016,398008992,1.413,0.00147,0.0247,57109078,0.0402,0.02274,16.765432,1
6,7,1546418944,9.171072,7.998,181620992,5.004,101673000,5335000,5.374,0.011924,0.4328,34071137,0.0715,0.04453,36.445378,1
8,4,596466688,1.008902,1.749,420579008,1.888,122142000,373824000,2.335,0,0,173223130,0.0373,0.21421,0,1
12,6,3316987136,1.06063,1.49,2552900096,14.881,1411800064,1596199936,1.931,0,0,165536935,0.0548,0.0054,62.375,3
8,9,26727686144,10.10815,4.314,6889099776,58.831,2136800000,3459000064,0.881,0.015549,0.4958,116515562,0.0147,0.00469,32.252113,3
11,9,3529527296,6.018343,9.4,348051008,8.283,208196000,3442000,2.414,0,0,40172062,0.0469,0.04872,0,2
27,9,7556620800,8.716814,7.499,857947008,5.241,759412992,400000,2.463,0,0,141866701,0.0879,0.02946,0,1
11,9,5848651776,2.625731,10.969,551094016,2.311,388828992,924870016,1.768,0,0,285465346,0.0423,0.00855,11.225,1
11,5,5488153088,2.556297,9.921,631937024,2.303,328952992,820422976,0.141,0,0,272440068,0.202,0.03151,22.703488,1
8,2,6487330304,9.756654,2.759,2230781952,4.428,1101165440,76000000,1.575,0.011837,0.7045,258409597,0.021,0.68889,49.346154,0
10,6,1834317056,4.749352,5.859,274950016,5.086,176490000,79367000,7.713,0,0,53564059,0.1529,0.04425,0,1
5,7,8590062592,4.930618,2.048,4598536192,17.28,932472000,1071636992,1.1,0.007287,0.2988,261309764,0.0453,0.00445,40.8625,2
4,6,2974540544,0.66519,1.477,4326099968,31.36,1545500032,3867399936,1.031,0.053135,109.5,136795840,0.0632,0.00409,0,2
8,7,4533962240,3.024867,5.136,912019968,15.525,254494000,271508000,2.321,0,0,53586778,0.0779,0.01698,0,2
6,9,1937705984,4.056409,3.499,940126016,21.802,801934016,1450824960,0.372,0,0,42372086,0.121,0.01859,41.431193,0
7,1,635960896,1.323699,1.509,717844992,11.091,477644000,475304000,1.623,0,0,56659506,0.1101,0.09928,16.693548,2
6,4,957477312,0.862995,0.603,1426699008,6.741,367303008,81063000,1.921,0.036951,0.64,86172545,0.078,0.59341,17.36,3
16,7,11177182208,4.347896,2.821,4411654144,74.75,1762420992,1487545984,0.778,0,0,57470861,0.0435,0.01698,31.642857,2
