@relation 'train_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,11,14-19,23-27,30-33,36,38,40-41,43-46-weka.filters.unsupervised.attribute.RemoveType-Tnominal'

@attribute numberOfAnalystOpinions numeric
@attribute marketCap numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute floatShares numeric
@attribute sharesPercentSharesOut numeric
@attribute heldPercentInsiders numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
-0.196032,-0.139873,-0.318625,-0.03233,-0.268599,-0.370554,-0.239295,-0.218253,-0.438823,-0.650203,-0.134552,0.087802,4.214512,-0.49324,-0.154687,2
0.155091,-0.125535,-0.225039,-0.03441,-0.239121,-0.323217,-0.162918,-0.297515,-0.209626,-0.426974,-0.111472,-0.069788,-0.551519,-0.410395,-0.062809,3
-0.078991,-0.168001,-0.208192,-0.03272,-0.286322,-0.381522,-0.266652,-0.397067,1.490599,-0.650203,-0.134552,-0.251127,1.126328,-0.247143,-0.208271,0
-0.078991,-0.122602,-0.307819,-0.034589,-0.162789,-0.082111,-0.132968,0.556535,-0.457836,0.997212,-0.020089,-0.171096,-0.309579,-0.528918,-0.110658,3
-0.664195,-0.161895,-0.161037,-0.034172,-0.27812,-0.369835,-0.244205,-0.385949,-0.423717,1.153952,0.039241,-0.226939,-0.653803,-0.431019,-0.071708,2
-1.132358,-0.163898,-0.340722,-0.035666,-0.238564,0.05267,-0.228104,-0.331616,-0.199729,-0.339828,6.575603,-0.263424,-0.881974,-0.451469,29.976939,0
-0.547154,-0.129105,-0.24874,-0.035618,-0.077526,-0.225665,-0.13653,-0.113255,-0.267185,1.503495,0.040006,0.087404,0.335596,-0.510557,-0.094373,2
-0.781236,-0.153125,-0.241377,-0.035591,-0.226848,-0.085004,-0.218426,-0.389968,-0.127844,-0.650203,-0.134552,-0.237405,0.561801,-0.394993,-0.105778,3
-0.664195,-0.169361,-0.365928,-0.035815,-0.223284,-0.247677,-0.215308,-0.302706,-0.405225,0.287944,0.138536,-0.177958,0.298223,-0.427713,-0.208271,4
-0.898276,-0.169323,-0.3365,-0.035791,-0.278313,-0.354578,-0.250545,-0.397642,1.316357,-0.650203,-0.134552,-0.226449,-0.160087,1.351177,-0.014998,0
